host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
61,1000_to_1099,1049.5,5,5,1,1,0.18382700000000002,0.18382700000000002,0.239465,0.431728,0.3048712,0.3048712,0.18382700000000002,0.18382700000000002,0.239465,0.431728,0.3048712,0.3048712,1,0,0
627,1000_to_1099,1049.5,5,5,1,2,2.7175801999999996,2.7175801999999996,3.469461,5.756946,4.3549386000000005,4.3549386000000005,2.7175801999999996,2.7175801999999996,3.469461,5.756946,4.3549386000000005,4.3549386000000005,1,0,0
628,1000_to_1099,1049.5,5,5,2,4,2.1787047999999998,2.0505833333333334,2.205988,4.960177,3.8454398,2.9251306666666665,2.1787047999999998,2.0505833333333334,2.205988,4.960177,3.8454398,2.9251306666666665,0.6,0.4,0
64,1000_to_1099,1049.5,5,5,1,1,0.3927694,0.3927694,0.37142200000000003,0.934137,0.6448132000000001,0.6448132000000001,0.3927694,0.3927694,0.37142200000000003,0.934137,0.6448132000000001,0.6448132000000001,1,0,0
668,1000_to_1099,1049.5,5,5,1,1,0.4097934,0.4097934,0.439806,0.9830059999999999,0.7001696,0.7001696,0.4097934,0.4097934,0.439806,0.9830059999999999,0.7001696,0.7001696,1,0,0
689,1000_to_1099,1049.5,5,5,1,1,3.7687002000000005,3.7687002000000005,3.76687,7.16106,5.324992,5.324992,3.7687002000000005,3.7687002000000005,3.76687,7.16106,5.324992,5.324992,1,0,0
693,1000_to_1099,1049.5,5,5,1,1,0.2596904,0.2596904,0.364252,0.569686,0.3622804,0.3622804,0.2596904,0.2596904,0.364252,0.569686,0.3622804,0.3622804,1,0,0
723,1000_to_1099,1049.5,5,5,2,3,8.526288,7.685266,9.625652,19.981258,14.007996,11.806048,8.526288,7.685266,9.625652,19.981258,14.007996,11.806048,0.8,0.2,0
74,1000_to_1099,1049.5,5,5,1,1,1.6397672,1.6397672,1.62746,3.7880249999999998,3.0895129999999997,3.0895129999999997,1.6397672,1.6397672,1.62746,3.7880249999999998,3.0895129999999997,3.0895129999999997,1,0,0
790,1000_to_1099,1049.5,5,5,1,1,0.1053518,0.1053518,0.10719000000000001,0.211507,0.140609,0.140609,0.1053518,0.1053518,0.10719000000000001,0.211507,0.140609,0.140609,1,0,0
80,1000_to_1099,1049.5,5,5,1,1,0.590887,0.590887,0.95743,1.207101,0.637145,0.637145,0.590887,0.590887,0.95743,1.207101,0.637145,0.637145,1,0,0
849,1000_to_1099,1049.5,5,5,1,1,0.210608,0.210608,0.245328,0.39837600000000006,0.2849088,0.2849088,0.210608,0.210608,0.245328,0.39837600000000006,0.2849088,0.2849088,1,0,0
891,1000_to_1099,1049.5,5,5,2,2,6.5207768,3.689648,9.453582,13.978271999999999,9.603160599999999,5.103919333333334,6.5207768,3.689648,9.453582,13.978271999999999,9.603160599999999,5.103919333333334,0.6,0.4,0
898,1000_to_1099,1049.5,5,5,1,1,1.8652646000000002,1.8652646000000002,2.159552,4.218386000000001,3.3851788000000003,3.3851788000000003,1.8652646000000002,1.8652646000000002,2.159552,4.218386000000001,3.3851788000000003,3.3851788000000003,1,0,0
928,1000_to_1099,1049.5,5,5,1,1,0.3197934,0.3197934,0.506785,0.650097,0.352128,0.352128,0.3197934,0.3197934,0.506785,0.650097,0.352128,0.352128,1,0,0
947,1000_to_1099,1049.5,5,5,1,1,0.0778188,0.0778188,0.143157,0.171336,0.1008594,0.1008594,0.0778188,0.0778188,0.143157,0.171336,0.1008594,0.1008594,1,0,0
948,1000_to_1099,1049.5,5,5,1,1,0.8178947999999998,0.8178947999999998,0.78773,1.738322,1.3954192,1.3954192,0.8178947999999998,0.8178947999999998,0.78773,1.738322,1.3954192,1.3954192,1,0,0
103,10000_to_10099,10049.5,5,5,1,1,0.381816,0.381816,0.735366,0.992104,0.584649,0.584649,0.381816,0.381816,0.735366,0.992104,0.584649,0.584649,1,0,0
107,10000_to_10099,10049.5,5,5,1,5,0.3684382,0.3684382,0.528829,0.784795,0.5160386,0.5160386,0.3684382,0.3684382,0.528829,0.784795,0.5160386,0.5160386,1,0,0
117,10000_to_10099,10049.5,5,5,2,5,4.092713000000001,4.042044499999999,4.245839,8.711893,7.9951468000000006,7.913421666666667,4.092713000000001,4.042044499999999,4.245839,8.711893,7.9951468000000006,7.913421666666667,0.8,0.2,0
122,10000_to_10099,10049.5,5,5,1,1,0.4620494,0.4620494,0.450169,1.084481,0.76937,0.76937,0.4620494,0.4620494,0.450169,1.084481,0.76937,0.76937,1,0,0
152,10000_to_10099,10049.5,5,5,3,5,11.6193568,5.249211,18.433048,26.685188,15.930812,6.678662,11.6193568,5.249211,18.433048,26.685188,15.930812,6.678662,0.6,0.2,0.2
169,10000_to_10099,10049.5,5,5,1,1,0.16721999999999998,0.16721999999999998,0.118124,0.24477900000000002,0.20614400000000002,0.20614400000000002,0.16721999999999998,0.16721999999999998,0.118124,0.24477900000000002,0.20614400000000002,0.20614400000000002,1,0,0
174,10000_to_10099,10049.5,5,5,1,1,0.507217,0.507217,0.517095,1.110776,0.8544152,0.8544152,0.507217,0.507217,0.517095,1.110776,0.8544152,0.8544152,1,0,0
177,10000_to_10099,10049.5,5,5,1,1,0.6500132,0.6500132,0.815366,1.293074,0.738796,0.738796,0.6500132,0.6500132,0.815366,1.293074,0.738796,0.738796,1,0,0
186,10000_to_10099,10049.5,5,5,1,2,9.9627654,9.9627654,10.642937,21.293267999999998,15.6976582,15.6976582,9.9627654,9.9627654,10.642937,21.293267999999998,15.6976582,15.6976582,1,0,0
207,10000_to_10099,10049.5,5,5,1,1,0.6698108,0.6698108,0.9258440000000001,1.5009070000000002,1.0334346,1.0334346,0.6698108,0.6698108,0.9258440000000001,1.5009070000000002,1.0334346,1.0334346,1,0,0
224,10000_to_10099,10049.5,5,5,1,1,0.4158848,0.4158848,0.700601,0.780348,0.330577,0.330577,0.4158848,0.4158848,0.700601,0.780348,0.330577,0.330577,1,0,0
25,10000_to_10099,10049.5,5,5,1,1,0.5978277999999999,0.5978277999999999,0.683946,1.291162,0.9359508,0.9359508,0.5978277999999999,0.5978277999999999,0.683946,1.291162,0.9359508,0.9359508,1,0,0
269,10000_to_10099,10049.5,5,5,1,1,0.324716,0.324716,0.256889,0.7590690000000001,0.5154392,0.5154392,0.324716,0.324716,0.256889,0.7590690000000001,0.5154392,0.5154392,1,0,0
277,10000_to_10099,10049.5,5,5,1,1,0.31813199999999997,0.31813199999999997,0.683639,0.9580040000000001,0.5796822,0.5796822,0.31813199999999997,0.31813199999999997,0.683639,0.9580040000000001,0.5796822,0.5796822,1,0,0
297,10000_to_10099,10049.5,5,5,1,1,0.5723806,0.5723806,0.532351,1.278564,0.9493486,0.9493486,0.5723806,0.5723806,0.532351,1.278564,0.9493486,0.9493486,1,0,0
