564->600,100
564->293,100
965->428,100
186->20,100
186->228,100
2->372,100
2->137,100
2->422,100
186->164,99
186->709,99
2->392,99
564->135,98
2->186,98
564->213,97
2->395,95
564->210,93
564->341,70
2->107,58
2->982,51
982->257,50
982->297,47
2->262,42
564->982,34
709->186,33
982->564,30
2->341,30
564->257,28
341->564,26
237->630,24
564->297,19
2->958,16
2->564,13
2->237,12
2->238,11
2->717,10
2->270,10
122->406,9
2->297,7
493->965,6
101->334,6
101->122,5
2->101,5
230->488,5
378->304,4
304->378,4
2->230,4
297->982,4
2->684,4
270->275,3
2->630,3
334->149,3
101->406,3
2->584,3
149->334,3
2->213,3
213->564,3
275->107,3
915->935,2
210->982,2
275->270,2
210->564,2
630->237,2
295->117,2
117->295,2
406->122,2
2->135,2
135->564,2
982->210,2
684->584,2
101->149,2
493->230,1
717->238,1
2->935,1
2->304,1
2->257,1
304->270,1
2->210,1
293->564,1
296->627,1
238->717,1
620->627,1
275->237,1
341->982,1
122->334,1
122->149,1
935->915,1
164->186,1
2->164,1
101->262,1
2->709,1
372->2,1
