host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4
153,1000_to_1099,1049.5,10,10,1,3,1.6933915000000002,1.6933915000000002,1.275688,4.08905,2.519605711111111,2.519605711111111,1.6933915000000002,1.6933915000000002,1.275688,4.08905,2.519605711111111,2.519605711111111,1,0,0,0
176,1000_to_1099,1049.5,10,10,1,2,2.0731355999999996,2.0731355999999996,1.943858,5.563446000000001,3.3394868,3.3394868,2.0731355999999996,2.0731355999999996,1.943858,5.563446000000001,3.3394868,3.3394868,1,0,0,0
212,1000_to_1099,1049.5,10,10,4,4,6.2659781,1.1253455999999997,6.745752000000001,15.62527,8.841357444444444,1.7115298,6.2659781,1.1253455999999997,6.745752000000001,15.62527,8.841357444444444,1.7115298,0.5,0.2,0.2,0.1
220,1000_to_1099,1049.5,10,10,2,3,1.8657588,1.9339316666666666,1.192415,3.570504,1.8339854222222223,1.703872111111111,1.8657588,1.9339316666666666,1.192415,3.570504,1.8339854222222223,1.703872111111111,0.9,0.1,0,0
263,1000_to_1099,1049.5,10,10,1,1,1.9559379,1.9559379,1.169803,4.859478999999999,3.0612263333333334,3.0612263333333334,1.9559379,1.9559379,1.169803,4.859478999999999,3.0612263333333334,3.0612263333333334,1,0,0,0
28,1000_to_1099,1049.5,10,10,1,1,1.1268958999999998,1.1268958999999998,0.886788,3.148819,1.9477365555555557,1.9477365555555557,1.1268958999999998,1.1268958999999998,0.886788,3.148819,1.9477365555555557,1.9477365555555557,1,0,0,0
355,1000_to_1099,1049.5,10,10,1,4,0.024546600000000002,0.024546600000000002,0.020747,0.085538,0.03758160000000001,0.03758160000000001,0.024546600000000002,0.024546600000000002,0.020747,0.085538,0.03758160000000001,0.03758160000000001,1,0,0,0
445,1000_to_1099,1049.5,10,10,2,2,7.174315300000001,2.6028742,9.769097,18.554919,9.490461311111112,3.999476,7.174315300000001,2.6028742,9.769097,18.554919,9.490461311111112,3.999476,0.5,0.5,0,0
485,1000_to_1099,1049.5,10,10,1,1,1.4704716000000002,1.4704716000000002,1.447762,3.867755,2.1608995111111113,2.1608995111111113,1.4704716000000002,1.4704716000000002,1.447762,3.867755,2.1608995111111113,2.1608995111111113,1,0,0,0
543,1000_to_1099,1049.5,10,10,1,6,1.4687651000000002,1.4687651000000002,2.537875,4.740239,2.336182288888889,2.336182288888889,1.4687651000000002,1.4687651000000002,2.537875,4.740239,2.336182288888889,2.336182288888889,1,0,0,0
591,1000_to_1099,1049.5,10,10,1,1,2.4584294,2.4584294,1.431583,4.591347,2.8496310666666664,2.8496310666666664,2.4584294,2.4584294,1.431583,4.591347,2.8496310666666664,2.8496310666666664,1,0,0,0
927,1000_to_1099,1049.5,10,10,1,1,1.3928762000000003,1.3928762000000003,1.515278,3.740618,2.2648407555555554,2.2648407555555554,1.3928762000000003,1.3928762000000003,1.515278,3.740618,2.2648407555555554,2.2648407555555554,1,0,0,0
