host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
221,92,none,1,50,1/50,50
348,512,complex,1,50,1/50,47
348,512,none,45,50,45/50,47
348,520,complex,9,50,9/50,50
348,520,none,1,50,1/50,50
348,520,trans,40,50,40/50,50
348,682,none,3,50,3/50,50
348,682,trans,47,50,47/50,50
348,92,none,47,50,47/50,48
395,512,none,24,50,24/50,27
395,514,trans,50,50,50/50,50
395,92,none,24,50,24/50,47
500,92,complex,6,50,6/50,49
500,92,none,6,50,6/50,49
512,348,trans,1,50,1/50,47
512,395,trans,3,50,3/50,27
512,92,complex,2,50,2/50,50
512,92,none,46,50,46/50,50
520,44,trans,50,50,50/50,50
92,221,trans,49,50,49/50,50
92,348,trans,1,50,1/50,48
92,395,trans,23,50,23/50,47
92,500,trans,37,50,37/50,49
92,512,trans,2,50,2/50,50
92,921,complex,20,50,20/50,50
92,921,trans,30,50,30/50,50
