host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
0,52,complex,2,10,2/10,10
0,52,none,3,10,3/10,10
0,846,none,6,10,6/10,7
125,247,complex,4,10,4/10,10
125,247,none,5,10,5/10,10
125,389,complex,2,10,2/10,10
125,389,none,4,10,4/10,10
125,389,trans,4,10,4/10,10
212,52,complex,2,10,2/10,10
247,125,trans,1,10,1/10,10
247,361,complex,5,10,5/10,9
247,361,none,1,10,1/10,9
247,361,trans,3,10,3/10,9
247,389,complex,1,10,1/10,6
247,389,none,3,10,3/10,6
247,389,trans,2,10,2/10,6
247,52,complex,8,10,8/10,10
247,52,none,1,10,1/10,10
247,52,trans,1,10,1/10,10
247,928,complex,2,10,2/10,7
247,928,none,5,10,5/10,7
254,75,complex,8,10,8/10,10
357,51,complex,4,10,4/10,10
357,51,none,2,10,2/10,10
357,75,complex,1,10,1/10,6
361,52,none,5,10,5/10,6
51,357,trans,4,10,4/10,10
51,75,complex,9,10,9/10,10
52,0,trans,5,10,5/10,10
52,212,trans,8,10,8/10,10
52,36,trans,10,10,10/10,10
52,361,trans,1,10,1/10,6
52,69,complex,8,10,8/10,10
52,69,trans,2,10,2/10,10
52,846,complex,1,10,1/10,9
52,846,none,3,10,3/10,9
52,846,trans,5,10,5/10,9
58,66,complex,2,10,2/10,10
58,66,trans,5,10,5/10,10
66,58,trans,3,10,3/10,10
69,952,complex,8,10,8/10,10
69,952,trans,2,10,2/10,10
75,165,trans,10,10,10/10,10
75,254,trans,2,10,2/10,10
75,357,trans,5,10,5/10,6
75,51,trans,1,10,1/10,10
846,0,trans,1,10,1/10,7
