host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4
10,1000_to_1099,1049.5,10,10,1,1,1.2151151,1.2151151,1.2356669999999998,2.3462189999999996,1.2469132666666667,1.2469132666666667,1.2151151,1.2151151,1.2356669999999998,2.3462189999999996,1.2469132666666667,1.2469132666666667,1,0,0,0
108,1000_to_1099,1049.5,10,10,1,1,0.3683182,0.3683182,0.45826199999999995,0.808051,0.48695946666666673,0.48695946666666673,0.3683182,0.3683182,0.45826199999999995,0.808051,0.48695946666666673,0.48695946666666673,1,0,0,0
11,1000_to_1099,1049.5,10,10,1,5,2.2451041,2.2451041,1.923776,5.615636,3.3600615333333335,3.3600615333333335,2.2451041,2.2451041,1.923776,5.615636,3.3600615333333335,3.3600615333333335,1,0,0,0
123,1000_to_1099,1049.5,10,10,1,1,1.0972137,1.0972137,1.3845480000000001,2.3853660000000008,1.3643136222222223,1.3643136222222223,1.0972137,1.0972137,1.3845480000000001,2.3853660000000008,1.3643136222222223,1.3643136222222223,1,0,0,0
126,1000_to_1099,1049.5,10,10,1,1,1.6317591,1.6317591,1.838475,3.6646780000000003,2.3050052222222224,2.3050052222222224,1.6317591,1.6317591,1.838475,3.6646780000000003,2.3050052222222224,2.3050052222222224,1,0,0,0
136,1000_to_1099,1049.5,10,10,1,1,1.3564044000000002,1.3564044000000002,1.3337459999999999,3.0535719999999995,1.9916560888888888,1.9916560888888888,1.3564044000000002,1.3564044000000002,1.3337459999999999,3.0535719999999995,1.9916560888888888,1.9916560888888888,1,0,0,0
153,1000_to_1099,1049.5,10,10,1,2,2.2618731000000003,2.2618731000000003,2.846956,4.416693,1.855838288888889,1.855838288888889,2.2618731000000003,2.2618731000000003,2.846956,4.416693,1.855838288888889,1.855838288888889,1,0,0,0
16,1000_to_1099,1049.5,10,10,1,3,0.6672156,0.6672156,0.558206,1.6148259999999999,1.0223656888888888,1.0223656888888888,0.6672156,0.6672156,0.558206,1.6148259999999999,1.0223656888888888,1.0223656888888888,1,0,0,0
162,1000_to_1099,1049.5,10,10,1,1,0.8007567,0.8007567,1.441107,1.9916459999999998,0.8424463333333333,0.8424463333333333,0.8007567,0.8007567,1.441107,1.9916459999999998,0.8424463333333333,0.8424463333333333,1,0,0,0
19,1000_to_1099,1049.5,10,10,1,1,0.779738,0.779738,0.762684,2.108244,1.2002473777777778,1.2002473777777778,0.779738,0.779738,0.762684,2.108244,1.2002473777777778,1.2002473777777778,1,0,0,0
217,1000_to_1099,1049.5,10,10,1,3,1.9463116,1.9463116,2.8503640000000003,5.189847,2.622334577777778,2.622334577777778,1.9463116,1.9463116,2.8503640000000003,5.189847,2.622334577777778,2.622334577777778,1,0,0,0
22,1000_to_1099,1049.5,10,10,1,1,1.4180186,1.4180186,2.065102,3.22541,1.6905716888888889,1.6905716888888889,1.4180186,1.4180186,2.065102,3.22541,1.6905716888888889,1.6905716888888889,1,0,0,0
25,1000_to_1099,1049.5,10,10,1,1,0.8616721,0.8616721,1.041048,1.888108,1.0231100222222222,1.0231100222222222,0.8616721,0.8616721,1.041048,1.888108,1.0231100222222222,1.0231100222222222,1,0,0,0
