host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
103,155,complex,44,100,44/100,100
103,155,trans,56,100,56/100,100
103,189,complex,2,100,2/100,100
103,189,trans,98,100,98/100,100
103,317,none,97,100,97/100,100
103,386,trans,100,100,100/100,100
103,68,trans,100,100,100/100,100
155,449,complex,55,100,55/100,100
155,449,trans,45,100,45/100,100
166,552,trans,100,100,100/100,100
189,170,trans,100,100,100/100,100
189,273,trans,100,100,100/100,100
233,317,complex,64,100,64/100,100
259,151,trans,100,100,100/100,100
259,318,complex,1,100,1/100,100
259,318,none,3,100,3/100,100
259,753,complex,8,100,8/100,100
259,753,trans,92,100,92/100,100
259,905,trans,99,100,99/100,99
259,948,trans,100,100,100/100,100
259,970,trans,100,100,100/100,100
317,103,trans,3,100,3/100,100
317,233,trans,36,100,36/100,100
317,567,trans,100,100,100/100,100
317,634,complex,1,100,1/100,100
317,634,trans,99,100,99/100,100
317,927,complex,33,100,33/100,100
317,927,trans,67,100,67/100,100
318,259,trans,96,100,96/100,100
386,75,complex,5,100,5/100,100
386,75,none,14,100,14/100,100
386,75,trans,81,100,81/100,100
634,318,trans,100,100,100/100,100
634,78,trans,100,100,100/100,100
75,166,trans,99,100,99/100,99
812,948,complex,1,100,1/100,100
927,135,trans,100,100,100/100,100
927,24,trans,100,100,100/100,100
948,812,trans,99,100,99/100,100
