host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7
108,1000_to_1099,1049.5,10,10,3,8,8.3573764,4.245254000000001,4.066948,12.921049,8.954559911111112,7.6038838,8.3573764,4.245254000000001,4.066948,12.921049,8.954559911111112,7.6038838,0.5,0.3,0.2,0,0,0,0
109,1000_to_1099,1049.5,10,10,1,2,1.9096332999999999,1.9096332999999999,2.291005,4.1932670000000005,2.241751577777778,2.241751577777778,1.9096332999999999,1.9096332999999999,2.291005,4.1932670000000005,2.241751577777778,2.241751577777778,1,0,0,0,0,0,0
122,1000_to_1099,1049.5,10,10,4,5,1.6493448000000002,0.8962755,1.079634,4.566276,2.791336133333333,1.4802833333333334,1.6493448000000002,0.8962755,1.079634,4.566276,2.791336133333333,1.4802833333333334,0.4,0.2,0.2,0.2,0,0,0
126,1000_to_1099,1049.5,10,10,1,1,0.5758951999999999,0.5758951999999999,0.537707,1.791681,0.8828602222222223,0.8828602222222223,0.5758951999999999,0.5758951999999999,0.537707,1.791681,0.8828602222222223,0.8828602222222223,1,0,0,0,0,0,0
132,1000_to_1099,1049.5,10,10,1,1,1.1635937,1.1635937,1.875556,3.652104,2.0222727333333332,2.0222727333333332,1.1635937,1.1635937,1.875556,3.652104,2.0222727333333332,2.0222727333333332,1,0,0,0,0,0,0
135,1000_to_1099,1049.5,10,10,1,1,0.12950660000000003,0.12950660000000003,0.129541,0.279923,0.12821853333333333,0.12821853333333333,0.12950660000000003,0.12950660000000003,0.129541,0.279923,0.12821853333333333,0.12821853333333333,1,0,0,0,0,0,0
140,1000_to_1099,1049.5,10,10,1,1,0.1277333,0.1277333,0.157096,0.294565,0.13229695555555557,0.13229695555555557,0.1277333,0.1277333,0.157096,0.294565,0.13229695555555557,0.13229695555555557,1,0,0,0,0,0,0
146,1000_to_1099,1049.5,10,10,6,9,3.3011036999999996,0.3022916666666667,3.6126110000000002,8.114127,5.093017488888889,0.5155506666666667,3.3011036999999996,0.3022916666666667,3.6126110000000002,8.114127,5.093017488888889,0.5155506666666667,0.3,0.2,0.2,0.1,0.1,0.1,0
150,1000_to_1099,1049.5,10,10,1,1,0.5348757999999999,0.5348757999999999,0.868772,1.492946,0.7495289333333334,0.7495289333333334,0.5348757999999999,0.5348757999999999,0.868772,1.492946,0.7495289333333334,0.7495289333333334,1,0,0,0,0,0,0
156,1000_to_1099,1049.5,10,10,1,9,0.49975610000000004,0.49975610000000004,0.690269,1.295978,0.6487434888888889,0.6487434888888889,0.49975610000000004,0.49975610000000004,0.690269,1.295978,0.6487434888888889,0.6487434888888889,1,0,0,0,0,0,0
164,1000_to_1099,1049.5,10,10,3,4,5.5036111,2.3170727500000003,4.991949,13.471708999999999,8.413398022222221,2.3978645,5.5036111,2.3170727500000003,4.991949,13.471708999999999,8.413398022222221,2.3978645,0.4,0.4,0.2,0,0,0,0
191,1000_to_1099,1049.5,10,10,1,1,0.4351711,0.4351711,0.791557,1.575643,0.7124936222222222,0.7124936222222222,0.4351711,0.4351711,0.791557,1.575643,0.7124936222222222,0.7124936222222222,1,0,0,0,0,0,0
194,1000_to_1099,1049.5,10,10,2,7,0.4121036,0.40392637500000006,0.234466,1.001077,0.6211578222222222,0.5453951071428571,0.4121036,0.40392637500000006,0.234466,1.001077,0.6211578222222222,0.5453951071428571,0.8,0.2,0,0,0,0,0
204,1000_to_1099,1049.5,10,10,1,1,3.4646704000000006,3.4646704000000006,4.575263,9.980493000000001,4.941434444444445,4.941434444444445,3.4646704000000006,3.4646704000000006,4.575263,9.980493000000001,4.941434444444445,4.941434444444445,1,0,0,0,0,0,0
205,1000_to_1099,1049.5,10,10,1,2,0.2713692,0.2713692,0.381532,0.554775,0.2709871111111111,0.2709871111111111,0.2713692,0.2713692,0.381532,0.554775,0.2709871111111111,0.2709871111111111,1,0,0,0,0,0,0
209,1000_to_1099,1049.5,10,10,6,6,15.272290899999996,3.1666326666666667,10.914409999999998,30.701127,17.399430111111112,4.566554,15.272290899999996,3.1666326666666667,10.914409999999998,30.701127,17.399430111111112,4.566554,0.3,0.2,0.2,0.1,0.1,0.1,0
