19->517,50
50->192,50
11->550,50
70->23,50
14->703,50
257->665,50
257->619,50
11->749,50
21->712,50
21->174,50
638->147,50
257->374,49
10->425,49
549->687,48
21->951,48
78->28,48
549->478,47
21->255,46
21->11,44
36->536,44
11->115,42
21->443,42
21->36,42
11->347,42
74->50,41
78->495,41
11->680,39
11->383,39
638->922,35
922->921,35
11->40,33
74->120,32
198->73,31
443->198,29
11->70,27
11->78,26
11->374,22
630->952,20
549->19,19
50->630,16
11->274,15
11->120,15
11->74,12
638->369,11
11->549,8
511->638,7
408->499,7
983->66,7
511->11,5
11->638,5
14->260,4
511->369,4
374->40,4
11->257,3
29->399,3
399->10,3
11->19,2
70->274,2
74->29,2
14->983,2
10->502,2
14->66,1
70->680,1
120->399,1
638->19,1
11->951,1
383->638,1
399->502,1
517->549,1
389->14,1
11->389,1
