72->161,10
72->120,10
120->157,10
157->383,10
120->362,10
79->697,10
697->149,10
697->845,10
79->114,10
114->171,10
240->433,10
512->566,10
171->425,10
59->104,10
59->74,10
59->273,10
59->280,10
280->567,10
59->123,10
123->575,10
206->740,10
56->78,10
56->145,10
372->169,10
59->739,10
362->745,10
435->240,10
206->227,10
59->372,10
65->246,10
65->131,10
114->435,10
362->947,10
59->276,10
114->512,10
299->56,10
745->947,10
298->184,10
184->298,10
59->222,9
59->206,9
65->68,9
56->299,9
246->131,9
161->65,8
206->299,8
512->435,8
206->56,8
79->72,8
68->65,8
161->68,7
59->79,7
435->512,7
219->72,7
72->219,7
79->219,7
131->246,7
372->276,6
435->298,6
435->184,6
947->745,6
575->123,6
59->575,6
276->372,6
240->184,5
222->59,4
74->104,4
104->74,4
240->298,4
227->56,3
78->145,2
227->299,2
72->65,2
72->68,2
79->171,2
79->59,2
79->222,2
59->72,1
59->219,1
219->79,1
222->219,1
72->79,1
145->78,1
280->206,1
79->276,1
276->59,1
