host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
103,89,complex,4,50,4/50,42
103,89,none,3,50,3/50,42
103,905,complex,7,50,7/50,46
103,905,none,23,50,23/50,46
103,905,trans,14,50,14/50,46
105,89,complex,9,50,9/50,41
105,89,none,8,50,8/50,41
120,257,complex,21,50,21/50,29
120,257,none,8,50,8/50,29
120,578,complex,32,50,32/50,43
120,578,none,11,50,11/50,43
121,303,complex,48,50,48/50,50
130,873,complex,12,50,12/50,46
130,873,none,11,50,11/50,46
130,873,trans,18,50,18/50,46
130,89,complex,15,50,15/50,39
130,89,none,6,50,6/50,39
157,303,complex,3,50,3/50,33
157,303,none,8,50,8/50,33
170,89,complex,34,50,34/50,47
170,89,none,4,50,4/50,47
173,186,complex,20,50,20/50,27
173,186,none,7,50,7/50,27
173,383,complex,28,50,28/50,32
173,383,none,4,50,4/50,32
173,525,complex,25,50,25/50,33
173,525,none,8,50,8/50,33
173,587,complex,22,50,22/50,27
173,587,none,5,50,5/50,27
173,80,complex,43,50,43/50,45
173,80,none,1,50,1/50,45
173,818,complex,19,50,19/50,32
173,818,none,13,50,13/50,32
186,226,complex,24,50,24/50,28
186,226,none,4,50,4/50,28
186,257,complex,25,50,25/50,33
186,257,none,8,50,8/50,33
186,275,complex,31,50,31/50,41
186,275,none,10,50,10/50,41
186,383,complex,18,50,18/50,30
186,383,none,12,50,12/50,30
186,531,complex,23,50,23/50,34
186,531,none,11,50,11/50,34
186,578,complex,26,50,26/50,35
186,578,none,9,50,9/50,35
186,587,complex,21,50,21/50,29
186,587,none,8,50,8/50,29
186,789,complex,21,50,21/50,26
186,789,none,5,50,5/50,26
186,80,complex,49,50,49/50,50
186,818,complex,27,50,27/50,32
186,818,none,5,50,5/50,32
191,89,complex,16,50,16/50,32
191,89,none,5,50,5/50,32
199,408,complex,44,50,44/50,50
199,408,trans,6,50,6/50,50
199,527,complex,27,50,27/50,48
199,527,none,2,50,2/50,48
199,527,trans,6,50,6/50,48
199,632,complex,27,50,27/50,45
199,632,none,2,50,2/50,45
199,632,trans,16,50,16/50,45
199,72,complex,15,50,15/50,31
199,72,trans,15,50,15/50,31
202,303,complex,44,50,44/50,50
202,303,none,1,50,1/50,50
202,538,complex,7,50,7/50,31
202,538,none,7,50,7/50,31
202,538,trans,16,50,16/50,31
202,637,complex,18,50,18/50,33
202,637,none,3,50,3/50,33
202,637,trans,11,50,11/50,33
226,275,complex,22,50,22/50,30
226,275,none,8,50,8/50,30
226,525,complex,14,50,14/50,26
226,525,none,12,50,12/50,26
226,578,complex,21,50,21/50,35
226,578,none,13,50,13/50,35
226,578,trans,1,50,1/50,35
226,789,complex,21,50,21/50,26
226,789,none,5,50,5/50,26
226,80,complex,38,50,38/50,38
226,818,complex,16,50,16/50,30
226,818,none,14,50,14/50,30
243,617,complex,3,50,3/50,50
257,350,complex,7,50,7/50,26
257,350,none,19,50,19/50,26
257,578,complex,20,50,20/50,32
257,578,none,10,50,10/50,32
275,293,complex,34,50,34/50,41
275,293,none,7,50,7/50,41
275,531,complex,21,50,21/50,33
275,531,none,12,50,12/50,33
275,80,complex,28,50,28/50,30
275,80,none,2,50,2/50,30
293,350,complex,13,50,13/50,29
293,350,none,16,50,16/50,29
293,383,complex,34,50,34/50,41
293,383,none,7,50,7/50,41
293,531,complex,29,50,29/50,38
293,531,none,9,50,9/50,38
293,587,complex,20,50,20/50,29
293,587,none,9,50,9/50,29
293,789,complex,21,50,21/50,29
293,789,none,8,50,8/50,29
293,80,complex,38,50,38/50,41
293,80,none,2,50,2/50,41
293,818,complex,19,50,19/50,28
293,818,none,9,50,9/50,28
303,121,trans,2,50,2/50,50
303,157,trans,22,50,22/50,33
303,202,trans,5,50,5/50,50
303,527,complex,37,50,37/50,49
303,527,none,3,50,3/50,49
303,527,trans,9,50,9/50,49
303,538,complex,9,50,9/50,36
303,538,none,3,50,3/50,36
303,538,trans,24,50,24/50,36
303,617,complex,20,50,20/50,48
303,617,none,14,50,14/50,48
303,617,trans,14,50,14/50,48
303,637,complex,47,50,47/50,50
303,637,trans,3,50,3/50,50
303,80,complex,24,50,24/50,27
303,80,none,3,50,3/50,27
350,565,complex,43,50,43/50,45
350,565,none,1,50,1/50,45
350,565,trans,1,50,1/50,45
350,587,complex,15,50,15/50,26
350,587,none,11,50,11/50,26
350,662,complex,44,50,44/50,46
350,662,trans,2,50,2/50,46
350,778,complex,15,50,15/50,31
350,778,none,5,50,5/50,31
350,778,trans,11,50,11/50,31
350,80,complex,47,50,47/50,48
350,80,none,1,50,1/50,48
383,80,complex,35,50,35/50,36
383,80,none,1,50,1/50,36
506,89,complex,19,50,19/50,49
506,89,none,1,50,1/50,49
510,527,complex,4,50,4/50,50
525,578,complex,29,50,29/50,40
525,578,none,11,50,11/50,40
525,587,complex,21,50,21/50,32
525,587,none,11,50,11/50,32
527,199,trans,13,50,13/50,48
527,510,trans,46,50,46/50,50
531,578,complex,21,50,21/50,28
531,578,none,7,50,7/50,28
531,587,complex,26,50,26/50,31
531,587,none,5,50,5/50,31
