dataset,50,60,70,80,90,100
SEIR015_sl1000_mr0125_nv10_1,0.897,0.94,0.927,0.941,0.935,0.935
SEIR015_sl1000_mr0125_nv10_10,0.867,0.867,0.867,0.846,0.909,0.909
SEIR015_sl1000_mr0125_nv10_11,0.818,0.818,0.778,0.833,0.833,0.833
SEIR015_sl1000_mr0125_nv10_12,0.833,0.818,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_13,0.976,0.974,0.974,0.966,0.966,0.966
SEIR015_sl1000_mr0125_nv10_14,0.83,0.846,0.884,0.889,0.909,0.906
SEIR015_sl1000_mr0125_nv10_15,0.893,0.889,0.842,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_16,0.699,0.742,0.772,0.774,0.774,0.774
SEIR015_sl1000_mr0125_nv10_17,0.704,0.704,0.692,0.652,0.682,0.682
SEIR015_sl1000_mr0125_nv10_18,0.636,0.778,0.714,0.714,0.714,0.714
SEIR015_sl1000_mr0125_nv10_19,0.762,0.762,0.8,0.833,0.882,0.882
SEIR015_sl1000_mr0125_nv10_2,0.909,0.909,0.909,0.9,0.9,0.9
SEIR015_sl1000_mr0125_nv10_20,0.923,0.946,0.931,0.929,0.923,0.923
SEIR015_sl1000_mr0125_nv10_3,0.7,0.778,0.714,0.714,0.714,0.714
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.875,1,1,1
SEIR015_sl1000_mr0125_nv10_5,0.773,0.762,0.75,0.722,0.688,0.688
SEIR015_sl1000_mr0125_nv10_6,0.808,0.808,0.818,0.889,0.867,0.867
SEIR015_sl1000_mr0125_nv10_7,0.82,0.857,0.844,0.842,0.886,0.886
SEIR015_sl1000_mr0125_nv10_8,0.706,0.714,0.7,1,1,1
SEIR015_sl1000_mr0125_nv10_9,0.467,0.538,0.5,0.714,0.714,0.833
SEIR015_sl1000_mr025_nv10_1,0.8,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_10,0.8,0.8,0.8,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv10_11,0.857,0.905,0.889,0.923,0.923,0.923
SEIR015_sl1000_mr025_nv10_12,0.9,0.889,0.875,0.833,0.833,0.833
SEIR015_sl1000_mr025_nv10_13,0.308,0.333,0.3,0.25,0.25,0.25
SEIR015_sl1000_mr025_nv10_14,0.731,0.72,0.75,0.846,0.833,0.833
SEIR015_sl1000_mr025_nv10_15,0.565,0.585,0.559,0.567,0.586,0.607
SEIR015_sl1000_mr025_nv10_16,0.786,0.833,0.818,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_17,0.812,0.839,0.852,0.8,0.789,0.789
SEIR015_sl1000_mr025_nv10_18,0.743,0.774,0.84,0.944,0.944,0.944
SEIR015_sl1000_mr025_nv10_19,0.882,0.938,0.923,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_2,0.854,0.919,0.893,0.875,0.87,0.909
SEIR015_sl1000_mr025_nv10_20,0.625,0.667,0.667,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_3,0.894,0.909,0.923,0.938,1,1
SEIR015_sl1000_mr025_nv10_4,0.895,0.889,0.867,0.87,0.864,0.864
SEIR015_sl1000_mr025_nv10_5,0.844,0.949,0.939,0.963,0.96,0.958
SEIR015_sl1000_mr025_nv10_6,0.947,0.944,0.933,0.958,0.958,0.958
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.875,0.857,0.857,0.857
SEIR015_sl1000_mr025_nv10_8,0.941,1,1,1,1,1
SEIR015_sl1000_mr025_nv10_9,0.942,0.959,0.947,0.969,0.968,0.968
SEIR015_sl1000_mr025_nv20_1,0.588,0.667,0.636,0.833,0.833,0.833
SEIR015_sl1000_mr025_nv20_10,0.583,0.6,0.5,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv20_11,0.833,0.833,0.818,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv20_12,0.542,0.571,0.6,0.611,0.733,0.733
SEIR015_sl1000_mr025_nv20_13,0.667,0.727,0.727,0.727,0.778,0.778
SEIR015_sl1000_mr025_nv20_14,0.889,0.889,0.857,0.833,0.8,0.8
SEIR015_sl1000_mr025_nv20_15,0.621,0.643,0.667,0.65,0.65,0.684
SEIR015_sl1000_mr025_nv20_16,0.862,0.857,0.88,0.913,0.909,0.909
SEIR015_sl1000_mr025_nv20_17,0.885,0.875,0.854,0.818,0.818,0.818
SEIR015_sl1000_mr025_nv20_18,0.651,0.643,0.611,0.606,0.606,0.606
SEIR015_sl1000_mr025_nv20_19,0.429,0.417,0.556,0.429,0.429,0.429
SEIR015_sl1000_mr025_nv20_2,0.917,0.957,0.947,0.941,0.941,0.941
SEIR015_sl1000_mr025_nv20_20,0.667,0.667,0.714,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv20_3,0.698,0.717,0.741,0.731,0.72,0.72
SEIR015_sl1000_mr025_nv20_4,0.833,0.826,0.826,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv20_5,0.943,0.941,0.92,0.909,0.905,0.905
SEIR015_sl1000_mr025_nv20_6,0.78,0.806,0.788,0.786,0.778,0.778
SEIR015_sl1000_mr025_nv20_7,0.969,1,1,1,1,1
SEIR015_sl1000_mr025_nv20_8,0.657,0.73,0.782,0.812,0.867,0.867
