host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6
12,1000_to_1099,1049.5,10,10,1,9,4.4049018,4.4049018,4.241716,12.507756,7.473581733333333,7.473581733333333,4.4049018,4.4049018,4.241716,12.507756,7.473581733333333,7.473581733333333,1,0,0,0,0,0
126,1000_to_1099,1049.5,10,10,1,1,0.7087473,0.7087473,0.935581,1.9263690000000002,1.0016357555555555,1.0016357555555555,0.7087473,0.7087473,0.935581,1.9263690000000002,1.0016357555555555,1.0016357555555555,1,0,0,0,0,0
161,1000_to_1099,1049.5,10,10,1,1,0.3514808,0.3514808,0.189758,0.615836,0.3815224888888889,0.3815224888888889,0.3514808,0.3514808,0.189758,0.615836,0.3815224888888889,0.3815224888888889,1,0,0,0,0,0
167,1000_to_1099,1049.5,10,10,1,1,0.2587984,0.2587984,0.158007,0.629408,0.3544366222222222,0.3544366222222222,0.2587984,0.2587984,0.158007,0.629408,0.3544366222222222,0.3544366222222222,1,0,0,0,0,0
17,1000_to_1099,1049.5,10,10,1,9,5.090789,5.090789,3.828123,12.300303999999997,8.512620533333333,8.512620533333333,5.090789,5.090789,3.828123,12.300303999999997,8.512620533333333,8.512620533333333,1,0,0,0,0,0
18,1000_to_1099,1049.5,10,10,1,3,0.24402439999999997,0.24402439999999997,0.376111,0.737878,0.37606351111111114,0.37606351111111114,0.24402439999999997,0.24402439999999997,0.376111,0.737878,0.37606351111111114,0.37606351111111114,1,0,0,0,0,0
216,1000_to_1099,1049.5,10,10,2,2,0.820892,0.4621831111111111,0.44991999999999993,1.1637969999999997,0.6926595111111111,0.6377986111111111,0.820892,0.4621831111111111,0.44991999999999993,1.1637969999999997,0.6926595111111111,0.6377986111111111,0.9,0.1,0,0,0,0
25,1000_to_1099,1049.5,10,10,1,1,0.1649544,0.1649544,0.16209200000000001,0.246037,0.10598617777777779,0.10598617777777779,0.1649544,0.1649544,0.16209200000000001,0.246037,0.10598617777777779,0.10598617777777779,1,0,0,0,0,0
284,1000_to_1099,1049.5,10,10,1,6,3.6966577999999997,3.6966577999999997,3.6575860000000002,9.640395,6.631607688888889,6.631607688888889,3.6966577999999997,3.6966577999999997,3.6575860000000002,9.640395,6.631607688888889,6.631607688888889,1,0,0,0,0,0
30,1000_to_1099,1049.5,10,10,1,1,0.7176288,0.7176288,0.89606,1.5306329999999997,0.8937124444444443,0.8937124444444443,0.7176288,0.7176288,0.89606,1.5306329999999997,0.8937124444444443,0.8937124444444443,1,0,0,0,0,0
34,1000_to_1099,1049.5,10,10,1,2,0.35299539999999996,0.35299539999999996,0.385135,0.585508,0.23748093333333334,0.23748093333333334,0.35299539999999996,0.35299539999999996,0.385135,0.585508,0.23748093333333334,0.23748093333333334,1,0,0,0,0,0
353,1000_to_1099,1049.5,10,10,1,1,0.9603167000000001,0.9603167000000001,1.195227,1.805257,0.882432111111111,0.882432111111111,0.9603167000000001,0.9603167000000001,1.195227,1.805257,0.882432111111111,0.882432111111111,1,0,0,0,0,0
