dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv5_1,1,0.357,0.526,0.857,0.429,0.571
SEIR015_sl1000_mr025_nv5_10,1,0.306,0.468,0.842,0.444,0.582
SEIR015_sl1000_mr025_nv5_11,0.971,0.723,0.829,0.963,0.553,0.703
SEIR015_sl1000_mr025_nv5_12,0.778,0.636,0.7,0.429,0.273,0.333
SEIR015_sl1000_mr025_nv5_13,1,0.71,0.83,0.913,0.677,0.778
SEIR015_sl1000_mr025_nv5_14,1,0.467,0.636,0.688,0.733,0.71
SEIR015_sl1000_mr025_nv5_15,0.911,0.631,0.745,0.884,0.585,0.704
SEIR015_sl1000_mr025_nv5_16,1,0.846,0.917,1,0.615,0.762
SEIR015_sl1000_mr025_nv5_17,1,0.732,0.845,0.892,0.805,0.846
SEIR015_sl1000_mr025_nv5_18,0.923,0.655,0.766,0.85,0.618,0.716
SEIR015_sl1000_mr025_nv5_19,1,0.182,0.308,0.833,0.455,0.588
SEIR015_sl1000_mr025_nv5_2,1,0.556,0.714,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,1,0.61,0.758,0.926,0.61,0.735
SEIR015_sl1000_mr025_nv5_3,0.846,0.407,0.55,0.867,0.481,0.619
SEIR015_sl1000_mr025_nv5_4,0.919,0.68,0.782,0.909,0.6,0.723
SEIR015_sl1000_mr025_nv5_5,0.778,0.333,0.467,0.75,0.286,0.414
SEIR015_sl1000_mr025_nv5_6,0.958,0.371,0.535,0.87,0.323,0.471
SEIR015_sl1000_mr025_nv5_7,0.87,0.769,0.816,0.789,0.577,0.667
SEIR015_sl1000_mr025_nv5_8,0.941,0.696,0.8,0.833,0.652,0.732
SEIR015_sl1000_mr025_nv5_9,1,0.4,0.571,0.714,0.375,0.492
SEIR01_sl1000_mr025_nv5_1,0.857,0.732,0.789,0.906,0.707,0.795
SEIR01_sl1000_mr025_nv5_10,1,0.455,0.625,1,0.606,0.755
SEIR01_sl1000_mr025_nv5_11,0.917,0.579,0.71,0.938,0.789,0.857
SEIR01_sl1000_mr025_nv5_12,0.909,0.526,0.667,0.824,0.737,0.778
SEIR01_sl1000_mr025_nv5_13,1,0.667,0.8,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,1,0.6,0.75,1,0.9,0.947
SEIR01_sl1000_mr025_nv5_15,0.8,0.741,0.769,0.731,0.704,0.717
SEIR01_sl1000_mr025_nv5_16,1,0.667,0.8,1,0.778,0.875
SEIR01_sl1000_mr025_nv5_17,0.889,0.727,0.8,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.897,0.553,0.684,0.946,0.745,0.833
SEIR01_sl1000_mr025_nv5_19,0.965,0.948,0.957,0.965,0.948,0.957
SEIR01_sl1000_mr025_nv5_2,0.9,0.562,0.692,0.867,0.812,0.839
SEIR01_sl1000_mr025_nv5_20,0.941,0.667,0.78,0.889,0.667,0.762
SEIR01_sl1000_mr025_nv5_3,0.875,0.7,0.778,0.889,0.8,0.842
SEIR01_sl1000_mr025_nv5_4,0.8,0.72,0.758,0.925,0.74,0.822
SEIR01_sl1000_mr025_nv5_5,0.783,0.706,0.742,0.879,0.569,0.69
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,1,0.7,0.824,1,1,1
SEIR01_sl1000_mr025_nv5_8,0.9,0.783,0.837,0.87,0.87,0.87
SEIR01_sl1000_mr025_nv5_9,0.833,0.556,0.667,0.875,0.778,0.824
SIR003_sl1000_mr05_nv5_1,0.68,0.486,0.567,0.774,0.686,0.727
SIR003_sl1000_mr05_nv5_10,0.838,0.756,0.795,0.906,0.707,0.795
SIR003_sl1000_mr05_nv5_11,0.75,0.532,0.623,0.708,0.548,0.618
SIR003_sl1000_mr05_nv5_12,1,0.833,0.909,1,0.833,0.909
SIR003_sl1000_mr05_nv5_13,0.857,0.545,0.667,0.889,0.727,0.8
SIR003_sl1000_mr05_nv5_14,0.762,0.552,0.64,0.944,0.586,0.723
SIR003_sl1000_mr05_nv5_15,0.891,0.661,0.759,0.887,0.758,0.817
SIR003_sl1000_mr05_nv5_16,0.667,0.333,0.444,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,0.706,0.5,0.585,0.812,0.542,0.65
SIR003_sl1000_mr05_nv5_18,0.8,0.5,0.615,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_19,0.682,0.441,0.536,0.68,0.5,0.576
SIR003_sl1000_mr05_nv5_2,0.625,0.417,0.5,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,0.75,0.462,0.571,0.833,0.769,0.8
SIR003_sl1000_mr05_nv5_3,0.8,0.5,0.615,0.833,0.625,0.714
SIR003_sl1000_mr05_nv5_4,1,0.786,0.88,1,0.786,0.88
SIR003_sl1000_mr05_nv5_5,1,0.636,0.778,1,0.636,0.778
SIR003_sl1000_mr05_nv5_6,0.571,0.364,0.444,1,0.364,0.533
SIR003_sl1000_mr05_nv5_7,0.603,0.514,0.555,0.833,0.541,0.656
SIR003_sl1000_mr05_nv5_8,0.8,0.48,0.6,0.929,0.52,0.667
SIR003_sl1000_mr05_nv5_9,0.846,0.458,0.595,0.737,0.583,0.651
SIR01_sl1000_mr15_nv5_1,0.842,0.571,0.681,0.895,0.607,0.723
SIR01_sl1000_mr15_nv5_10,1,0.727,0.842,1,0.727,0.842
SIR01_sl1000_mr15_nv5_11,0.75,0.333,0.462,0.714,0.556,0.625
SIR01_sl1000_mr15_nv5_12,0.8,0.522,0.632,0.667,0.435,0.526
SIR01_sl1000_mr15_nv5_13,0.8,0.5,0.615,0.812,0.812,0.812
SIR01_sl1000_mr15_nv5_14,0.812,0.591,0.684,0.833,0.682,0.75
SIR01_sl1000_mr15_nv5_15,0.75,0.6,0.667,0.816,0.689,0.747
SIR01_sl1000_mr15_nv5_16,0.75,0.333,0.462,0.571,0.444,0.5
SIR01_sl1000_mr15_nv5_17,0.857,0.75,0.8,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_18,0.714,0.556,0.625,1,0.778,0.875
SIR01_sl1000_mr15_nv5_19,0.684,0.619,0.65,0.8,0.571,0.667
SIR01_sl1000_mr15_nv5_2,0.767,0.657,0.708,0.947,0.514,0.667
SIR01_sl1000_mr15_nv5_20,0.818,0.529,0.643,0.867,0.765,0.812
SIR01_sl1000_mr15_nv5_3,0.5,0.222,0.308,0.571,0.444,0.5
SIR01_sl1000_mr15_nv5_4,0.867,0.52,0.65,1,0.44,0.611
SIR01_sl1000_mr15_nv5_5,0.625,0.455,0.526,0.667,0.364,0.471
SIR01_sl1000_mr15_nv5_6,0.812,0.565,0.667,0.857,0.522,0.649
SIR01_sl1000_mr15_nv5_7,1,0.375,0.545,1,0.5,0.667
SIR01_sl1000_mr15_nv5_8,1,0.25,0.4,0.6,0.375,0.462
SIR01_sl1000_mr15_nv5_9,0.763,0.617,0.682,0.818,0.574,0.675
,0.855625,0.568175,0.6708625,0.852675,0.6389875,0.7210625
