dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv20_1,1,0.6,0.75,0.867,0.867,0.867
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.7,0.778,0.737
SEIR015_sl1000_mr025_nv20_11,1,0.692,0.818,0.833,0.769,0.8
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.923,0.6,0.727
SEIR015_sl1000_mr025_nv20_13,1,0.222,0.364,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.952,0.909,0.93,0.857,0.818,0.837
SEIR015_sl1000_mr025_nv20_15,1,0.417,0.588,0.941,0.667,0.78
SEIR015_sl1000_mr025_nv20_16,0.929,0.867,0.897,0.893,0.833,0.862
SEIR015_sl1000_mr025_nv20_17,0.979,0.839,0.904,0.957,0.786,0.863
SEIR015_sl1000_mr025_nv20_18,0.955,0.538,0.689,0.926,0.641,0.758
SEIR015_sl1000_mr025_nv20_19,0.667,0.182,0.286,0.538,0.636,0.583
SEIR015_sl1000_mr025_nv20_2,1,0.6,0.75,1,0.84,0.913
SEIR015_sl1000_mr025_nv20_20,0.833,0.526,0.645,0.688,0.579,0.629
SEIR015_sl1000_mr025_nv20_3,1,0.636,0.778,0.951,0.591,0.729
SEIR015_sl1000_mr025_nv20_4,0.963,0.788,0.867,0.875,0.636,0.737
SEIR015_sl1000_mr025_nv20_5,0.972,0.897,0.933,0.912,0.795,0.849
SEIR015_sl1000_mr025_nv20_6,0.895,0.447,0.596,0.833,0.789,0.811
SEIR015_sl1000_mr025_nv20_7,0.935,0.806,0.866,1,0.861,0.925
SEIR015_sl1000_mr025_nv20_8,0.979,0.701,0.817,0.959,0.701,0.81
SEIR015_sl1000_mr025_nv20_9,0.812,0.722,0.765,0.692,0.5,0.581
SEIR01_sl1000_mr025_nv20_1,0.897,0.812,0.852,0.818,0.844,0.831
SEIR01_sl1000_mr025_nv20_10,0.8,0.444,0.571,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv20_11,0.667,0.4,0.5,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,1,0.722,0.839,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv20_13,0.88,0.759,0.815,0.907,0.845,0.875
SEIR01_sl1000_mr025_nv20_14,0.889,0.615,0.727,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.952,0.87,0.909,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv20_16,1,0.286,0.444,0.545,0.857,0.667
