107->514,10
107->275,10
107->100,10
100->706,10
107->307,10
107->808,10
402->117,10
897->673,10
105->15,10
679->236,10
107->51,10
51->4,10
402->692,9
402->418,9
402->122,9
402->982,9
107->4,9
982->418,9
402->225,9
386->108,8
162->67,8
402->672,8
402->253,8
402->386,8
897->374,8
107->706,8
67->29,7
982->374,7
762->107,7
386->976,7
374->418,6
982->897,6
502->29,6
122->846,5
67->502,5
897->192,5
982->372,5
402->107,5
402->192,5
162->29,5
402->372,4
402->762,4
162->502,4
372->418,4
29->253,4
846->386,4
253->67,4
976->225,3
225->108,3
253->162,3
672->192,3
402->374,3
402->846,3
502->253,3
402->108,3
418->897,3
402->29,3
107->15,3
402->976,3
897->372,3
225->253,2
897->253,2
402->162,2
122->372,2
402->502,2
225->122,2
846->108,2
846->225,2
192->762,2
225->374,2
108->976,2
386->374,1
976->418,1
976->374,1
386->418,1
374->372,1
67->846,1
976->846,1
846->162,1
253->372,1
372->672,1
418->192,1
107->679,1
162->192,1
253->846,1
672->29,1
846->502,1
672->374,1
692->374,1
122->374,1
672->162,1
386->225,1
418->253,1
122->29,1
