host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6
114,1000_to_1099,1049.5,10,10,1,1,0.2806472,0.2806472,0.198782,0.484502,0.24155208888888888,0.24155208888888888,0.2806472,0.2806472,0.198782,0.484502,0.24155208888888888,0.24155208888888888,1,0,0,0,0,0
117,1000_to_1099,1049.5,10,10,1,7,0.0978166,0.0978166,0.085122,0.24133500000000002,0.13775884444444444,0.13775884444444444,0.0978166,0.0978166,0.085122,0.24133500000000002,0.13775884444444444,0.13775884444444444,1,0,0,0,0,0
199,1000_to_1099,1049.5,10,10,1,5,0.20651479999999997,0.20651479999999997,0.17667,0.5479969999999998,0.28847328888888885,0.28847328888888885,0.20651479999999997,0.20651479999999997,0.17667,0.5479969999999998,0.28847328888888885,0.28847328888888885,1,0,0,0,0,0
206,1000_to_1099,1049.5,10,10,1,6,4.7734315,4.7734315,4.023321,10.635667,5.317834555555556,5.317834555555556,4.7734315,4.7734315,4.023321,10.635667,5.317834555555556,5.317834555555556,1,0,0,0,0,0
286,1000_to_1099,1049.5,10,10,4,8,1.9901838,1.0151419999999998,2.251501,6.352644,2.7615727555555556,1.6057294285714285,1.9901838,1.0151419999999998,2.251501,6.352644,2.7615727555555556,1.6057294285714285,0.7,0.1,0.1,0.1,0,0
299,1000_to_1099,1049.5,10,10,1,7,0.4590686,0.4590686,0.364661,1.030923,0.5985014222222222,0.5985014222222222,0.4590686,0.4590686,0.364661,1.030923,0.5985014222222222,0.5985014222222222,1,0,0,0,0,0
355,1000_to_1099,1049.5,10,10,1,1,1.6828792,1.6828792,1.091081,3.8265390000000004,1.9785262222222222,1.9785262222222222,1.6828792,1.6828792,1.091081,3.8265390000000004,1.9785262222222222,1.9785262222222222,1,0,0,0,0,0
384,1000_to_1099,1049.5,10,10,1,1,0.20635620000000002,0.20635620000000002,0.216187,0.497966,0.2786932888888889,0.2786932888888889,0.20635620000000002,0.20635620000000002,0.216187,0.497966,0.2786932888888889,0.2786932888888889,1,0,0,0,0,0
523,1000_to_1099,1049.5,10,10,1,1,0.7786877,0.7786877,0.521689,1.2645849999999998,0.7681653111111111,0.7681653111111111,0.7786877,0.7786877,0.521689,1.2645849999999998,0.7681653111111111,0.7681653111111111,1,0,0,0,0,0
543,1000_to_1099,1049.5,10,10,1,5,2.2800526,2.2800526,2.421985,7.316763,3.549711111111111,3.549711111111111,2.2800526,2.2800526,2.421985,7.316763,3.549711111111111,3.549711111111111,1,0,0,0,0,0
748,1000_to_1099,1049.5,10,10,1,1,2.2246612,2.2246612,1.978218,4.735183,2.373305822222222,2.373305822222222,2.2246612,2.2246612,1.978218,4.735183,2.373305822222222,2.373305822222222,1,0,0,0,0,0
946,1000_to_1099,1049.5,10,10,3,4,0.9714127999999999,0.7348492,1.57589,3.0922289999999997,1.6579853777777778,1.2311334,0.9714127999999999,0.7348492,1.57589,3.0922289999999997,1.6579853777777778,1.2311334,0.5,0.3,0.2,0,0,0
978,1000_to_1099,1049.5,10,10,1,1,0.1562457,0.1562457,0.13372,0.382702,0.1516049111111111,0.1516049111111111,0.1562457,0.1562457,0.13372,0.382702,0.1516049111111111,0.1516049111111111,1,0,0,0,0,0
114,10000_to_10099,10049.5,10,10,1,1,0.218175,0.218175,0.201722,0.487659,0.22579466666666667,0.22579466666666667,0.218175,0.218175,0.201722,0.487659,0.22579466666666667,0.22579466666666667,1,0,0,0,0,0
117,10000_to_10099,10049.5,10,10,1,5,0.14477479999999998,0.14477479999999998,0.11970800000000001,0.361956,0.20822586666666668,0.20822586666666668,0.14477479999999998,0.14477479999999998,0.11970800000000001,0.361956,0.20822586666666668,0.20822586666666668,1,0,0,0,0,0
199,10000_to_10099,10049.5,10,10,1,4,0.2184573,0.2184573,0.117442,0.4028339999999999,0.27072095555555553,0.27072095555555553,0.2184573,0.2184573,0.117442,0.4028339999999999,0.27072095555555553,0.27072095555555553,1,0,0,0,0,0
206,10000_to_10099,10049.5,10,10,1,7,9.241350700000002,9.241350700000002,7.895358,19.819772,7.4134626,7.4134626,9.241350700000002,9.241350700000002,7.895358,19.819772,7.4134626,7.4134626,1,0,0,0,0,0
286,10000_to_10099,10049.5,10,10,3,9,2.2975380999999997,1.2486602857142857,7.495896,10.982654,3.936865177777778,2.0644300952380954,2.2975380999999997,1.2486602857142857,7.495896,10.982654,3.936865177777778,2.0644300952380954,0.7,0.2,0.1,0,0,0
299,10000_to_10099,10049.5,10,10,1,1,0.355853,0.355853,0.525935,0.994747,0.5432718222222223,0.5432718222222223,0.355853,0.355853,0.525935,0.994747,0.5432718222222223,0.5432718222222223,1,0,0,0,0,0
355,10000_to_10099,10049.5,10,10,1,1,1.4009589999999998,1.4009589999999998,1.750069,3.8117730000000005,2.0393544444444447,2.0393544444444447,1.4009589999999998,1.4009589999999998,1.750069,3.8117730000000005,2.0393544444444447,2.0393544444444447,1,0,0,0,0,0
384,10000_to_10099,10049.5,10,10,1,1,0.4206643,0.4206643,0.29988899999999996,0.5975579999999999,0.26985539999999997,0.26985539999999997,0.4206643,0.4206643,0.29988899999999996,0.5975579999999999,0.26985539999999997,0.26985539999999997,1,0,0,0,0,0
523,10000_to_10099,10049.5,10,10,1,6,0.5949905,0.5949905,0.522633,1.149425,0.8058974,0.8058974,0.5949905,0.5949905,0.522633,1.149425,0.8058974,0.8058974,1,0,0,0,0,0
543,10000_to_10099,10049.5,10,10,3,5,9.206466600000002,3.3254395,13.506555000000002,19.345081,10.223234355555556,4.583319400000001,9.206466600000002,3.3254395,13.506555000000002,19.345081,10.223234355555556,4.583319400000001,0.6,0.3,0.1,0,0,0
748,10000_to_10099,10049.5,10,10,1,6,0.9923504999999999,0.9923504999999999,1.36038,2.594284,1.7332259777777776,1.7332259777777776,0.9923504999999999,0.9923504999999999,1.36038,2.594284,1.7332259777777776,1.7332259777777776,1,0,0,0,0,0
946,10000_to_10099,10049.5,10,10,4,4,0.9757269000000001,0.22862999999999997,2.104601,3.332708,1.7479908666666666,0.3738606666666666,0.9757269000000001,0.22862999999999997,2.104601,3.332708,1.7479908666666666,0.3738606666666666,0.3,0.3,0.3,0.1,0,0
978,10000_to_10099,10049.5,10,10,1,1,0.1137698,0.1137698,0.267141,0.503246,0.18625937777777776,0.18625937777777776,0.1137698,0.1137698,0.267141,0.503246,0.18625937777777776,0.18625937777777776,1,0,0,0,0,0
114,10200_to_10299,10249.5,10,10,1,4,0.15887590000000001,0.15887590000000001,0.146787,0.43679300000000004,0.1855618,0.1855618,0.15887590000000001,0.15887590000000001,0.146787,0.43679300000000004,0.1855618,0.1855618,1,0,0,0,0,0
117,10200_to_10299,10249.5,10,10,1,4,0.0885212,0.0885212,0.057632,0.23415200000000003,0.12828973333333335,0.12828973333333335,0.0885212,0.0885212,0.057632,0.23415200000000003,0.12828973333333335,0.12828973333333335,1,0,0,0,0,0
199,10200_to_10299,10249.5,10,10,1,6,0.3104601,0.3104601,0.174431,0.48707,0.2806738,0.2806738,0.3104601,0.3104601,0.174431,0.48707,0.2806738,0.2806738,1,0,0,0,0,0
206,10200_to_10299,10249.5,10,10,2,5,3.9216598999999994,3.8725853333333333,3.874241,9.349286,4.083449266666666,4.130952777777778,3.9216598999999994,3.8725853333333333,3.874241,9.349286,4.083449266666666,4.130952777777778,0.9,0.1,0,0,0,0
286,10200_to_10299,10249.5,10,10,3,8,1.5062640000000003,1.4796531428571431,1.872088,5.427227,2.478084622222222,2.0495315238095237,1.5062640000000003,1.4796531428571431,1.872088,5.427227,2.478084622222222,2.0495315238095237,0.7,0.2,0.1,0,0,0
299,10200_to_10299,10249.5,10,10,1,4,0.3646686,0.3646686,0.335871,0.8512009999999999,0.4755424888888889,0.4755424888888889,0.3646686,0.3646686,0.335871,0.8512009999999999,0.4755424888888889,0.4755424888888889,1,0,0,0,0,0
355,10200_to_10299,10249.5,10,10,1,2,1.1601262,1.1601262,1.33953,3.144565,1.8970210666666667,1.8970210666666667,1.1601262,1.1601262,1.33953,3.144565,1.8970210666666667,1.8970210666666667,1,0,0,0,0,0
384,10200_to_10299,10249.5,10,10,1,2,0.1218697,0.1218697,0.267452,0.463829,0.18866584444444445,0.18866584444444445,0.1218697,0.1218697,0.267452,0.463829,0.18866584444444445,0.18866584444444445,1,0,0,0,0,0
523,10200_to_10299,10249.5,10,10,1,1,0.46284269999999994,0.46284269999999994,0.397461,1.092239,0.6742167333333333,0.6742167333333333,0.46284269999999994,0.46284269999999994,0.397461,1.092239,0.6742167333333333,0.6742167333333333,1,0,0,0,0,0
543,10200_to_10299,10249.5,10,10,3,5,2.4112676,2.2968617142857144,2.3750220000000004,6.914802999999999,3.7387555999999997,2.6963825714285714,2.4112676,2.2968617142857144,2.3750220000000004,6.914802999999999,3.7387555999999997,2.6963825714285714,0.7,0.2,0.1,0,0,0
748,10200_to_10299,10249.5,10,10,1,1,1.2340431000000003,1.2340431000000003,1.846872,3.1148610000000003,1.8257296222222221,1.8257296222222221,1.2340431000000003,1.2340431000000003,1.846872,3.1148610000000003,1.8257296222222221,1.8257296222222221,1,0,0,0,0,0
946,10200_to_10299,10249.5,10,10,4,4,0.9745385000000001,0.4608306,1.855581,3.089099,1.5508607333333333,0.650805,0.9745385000000001,0.4608306,1.855581,3.089099,1.5508607333333333,0.650805,0.5,0.2,0.2,0.1,0,0
978,10200_to_10299,10249.5,10,10,1,7,0.058374300000000004,0.058374300000000004,0.104028,0.20503500000000002,0.08255713333333334,0.08255713333333334,0.058374300000000004,0.058374300000000004,0.104028,0.20503500000000002,0.08255713333333334,0.08255713333333334,1,0,0,0,0,0
114,10300_to_10399,10349.5,10,10,1,1,0.1902909,0.1902909,0.178952,0.5511109999999999,0.25036006666666666,0.25036006666666666,0.1902909,0.1902909,0.178952,0.5511109999999999,0.25036006666666666,0.25036006666666666,1,0,0,0,0,0
117,10300_to_10399,10349.5,10,10,1,8,0.11846090000000002,0.11846090000000002,0.086687,0.301633,0.16240895555555554,0.16240895555555554,0.11846090000000002,0.11846090000000002,0.086687,0.301633,0.16240895555555554,0.16240895555555554,1,0,0,0,0,0
199,10300_to_10399,10349.5,10,10,1,1,0.20423390000000002,0.20423390000000002,0.15826099999999999,0.497068,0.24021197777777778,0.24021197777777778,0.20423390000000002,0.20423390000000002,0.15826099999999999,0.497068,0.24021197777777778,0.24021197777777778,1,0,0,0,0,0
206,10300_to_10399,10349.5,10,10,3,6,7.7109974999999995,2.4332443749999997,7.4286129999999995,17.879561,7.218851488888888,3.8210546785714286,7.7109974999999995,2.4332443749999997,7.4286129999999995,17.879561,7.218851488888888,3.8210546785714286,0.8,0.1,0.1,0,0,0
286,10300_to_10399,10349.5,10,10,2,8,1.2450676999999999,1.10636,1.7966129999999998,4.433243999999999,2.3003952222222224,1.6595005999999999,1.2450676999999999,1.10636,1.7966129999999998,4.433243999999999,2.3003952222222224,1.6595005999999999,0.5,0.5,0,0,0,0
299,10300_to_10399,10349.5,10,10,1,4,0.36981450000000005,0.36981450000000005,0.464024,0.898523,0.5470926,0.5470926,0.36981450000000005,0.36981450000000005,0.464024,0.898523,0.5470926,0.5470926,1,0,0,0,0,0
355,10300_to_10399,10349.5,10,10,1,1,1.3955543999999998,1.3955543999999998,1.1998419999999999,4.010313,2.0719024,2.0719024,1.3955543999999998,1.3955543999999998,1.1998419999999999,4.010313,2.0719024,2.0719024,1,0,0,0,0,0
384,10300_to_10399,10349.5,10,10,1,1,0.1837941,0.1837941,0.202048,0.496787,0.23067397777777776,0.23067397777777776,0.1837941,0.1837941,0.202048,0.496787,0.23067397777777776,0.23067397777777776,1,0,0,0,0,0
523,10300_to_10399,10349.5,10,10,1,2,0.8383120999999999,0.8383120999999999,0.80721,1.8834609999999998,0.8767087777777777,0.8767087777777777,0.8383120999999999,0.8383120999999999,0.80721,1.8834609999999998,0.8767087777777777,0.8767087777777777,1,0,0,0,0,0
543,10300_to_10399,10349.5,10,10,1,6,2.3938858,2.3938858,2.055178,5.719549,3.6971728,3.6971728,2.3938858,2.3938858,2.055178,5.719549,3.6971728,3.6971728,1,0,0,0,0,0
748,10300_to_10399,10349.5,10,10,1,1,1.4441978,1.4441978,1.621774,3.2101140000000004,1.7836712444444445,1.7836712444444445,1.4441978,1.4441978,1.621774,3.2101140000000004,1.7836712444444445,1.7836712444444445,1,0,0,0,0,0
946,10300_to_10399,10349.5,10,10,5,5,0.8688668999999999,0.597963,2.030783,3.095246,1.5532894,0.966742,0.8688668999999999,0.597963,2.030783,3.095246,1.5532894,0.966742,0.3,0.3,0.2,0.1,0.1,0
978,10300_to_10399,10349.5,10,10,1,3,0.2182443,0.2182443,0.153152,0.312002,0.11795064444444445,0.11795064444444445,0.2182443,0.2182443,0.153152,0.312002,0.11795064444444445,0.11795064444444445,1,0,0,0,0,0
114,10500_to_10599,10549.5,10,10,1,1,0.17651920000000001,0.17651920000000001,0.281211,0.555218,0.2618400888888889,0.2618400888888889,0.17651920000000001,0.17651920000000001,0.281211,0.555218,0.2618400888888889,0.2618400888888889,1,0,0,0,0,0
117,10500_to_10599,10549.5,10,10,1,4,0.13795850000000004,0.13795850000000004,0.141443,0.38487499999999997,0.20834784444444446,0.20834784444444446,0.13795850000000004,0.13795850000000004,0.141443,0.38487499999999997,0.20834784444444446,0.20834784444444446,1,0,0,0,0,0
