dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv5_19,0.714,0.455,0.556,0.75,0.545,0.632
SEIR015_sl1000_mr025_nv5_2,1,0.667,0.8,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv5_20,0.811,0.732,0.769,0.705,0.756,0.729
SEIR015_sl1000_mr025_nv5_3,0.762,0.593,0.667,0.652,0.556,0.6
SEIR015_sl1000_mr025_nv5_4,0.867,0.78,0.821,0.725,0.74,0.733
SEIR015_sl1000_mr025_nv5_5,0.714,0.476,0.571,0.583,0.667,0.622
SEIR015_sl1000_mr025_nv5_6,0.732,0.484,0.583,0.612,0.484,0.541
SEIR015_sl1000_mr025_nv5_7,0.846,0.846,0.846,0.656,0.808,0.724
SEIR015_sl1000_mr025_nv5_8,0.952,0.87,0.909,0.692,0.783,0.735
SEIR015_sl1000_mr025_nv5_9,0.719,0.575,0.639,0.625,0.5,0.556
SEIR015_sl1000_mr05_nv10_1,0.765,0.765,0.765,0.667,0.824,0.737
SEIR015_sl1000_mr05_nv10_10,0.889,0.889,0.889,0.9,1,0.947
SEIR015_sl1000_mr05_nv10_11,0.571,0.5,0.533,0.5,0.5,0.5
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.964,0.885,0.923,0.892,0.951,0.921
SEIR015_sl1000_mr05_nv10_14,0.822,0.804,0.813,0.62,0.674,0.646
SEIR015_sl1000_mr05_nv10_15,0.909,0.909,0.909,0.733,1,0.846
SEIR015_sl1000_mr05_nv10_16,0.909,0.976,0.941,0.833,0.976,0.899
SEIR015_sl1000_mr05_nv10_17,0.857,0.87,0.863,0.816,0.899,0.855
SEIR015_sl1000_mr05_nv10_18,0.833,0.854,0.843,0.755,0.902,0.822
SEIR015_sl1000_mr05_nv10_19,0.938,0.938,0.938,0.861,0.969,0.912
SEIR015_sl1000_mr05_nv10_2,0.941,0.762,0.842,0.721,0.738,0.729
SEIR015_sl1000_mr05_nv10_20,0.852,0.561,0.676,0.522,0.293,0.375
