dataset,single,10,20,30,40,50,60,70,80,90,100
SEIR015_sl1000_mr0125_nv10_1,0.918,0.973,0.973,0.973,0.973,0.918,0.849,0.767,0.726,0.726,0.726
SEIR015_sl1000_mr0125_nv10_10,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.947,0.789,0.789,0.789
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.714,0.857,0.857,0.857,0.857,0.786,0.786,0.786,0.643,0.643,0.643
SEIR015_sl1000_mr0125_nv10_13,0.88,0.98,0.98,0.98,0.96,0.96,0.92,0.86,0.84,0.76,0.76
SEIR015_sl1000_mr0125_nv10_14,0.904,0.942,0.942,0.923,0.923,0.923,0.846,0.808,0.769,0.731,0.731
SEIR015_sl1000_mr0125_nv10_15,0.689,0.778,0.733,0.711,0.667,0.644,0.578,0.578,0.533,0.533,0.533
SEIR015_sl1000_mr0125_nv10_16,0.81,0.825,0.825,0.825,0.825,0.794,0.794,0.794,0.794,0.794,0.794
SEIR015_sl1000_mr0125_nv10_17,0.808,0.885,0.885,0.885,0.885,0.808,0.808,0.769,0.769,0.692,0.692
SEIR015_sl1000_mr0125_nv10_18,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
SEIR015_sl1000_mr0125_nv10_19,0.548,0.613,0.613,0.581,0.581,0.581,0.581,0.581,0.581,0.516,0.516
SEIR015_sl1000_mr0125_nv10_2,0.75,0.875,0.812,0.75,0.75,0.75,0.75,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_20,0.854,0.878,0.878,0.878,0.854,0.854,0.854,0.829,0.829,0.829,0.829
SEIR015_sl1000_mr0125_nv10_3,0.778,0.889,0.889,0.889,0.889,0.889,0.778,0.778,0.778,0.778,0.778
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.686,0.902,0.902,0.804,0.686,0.549,0.431,0.412,0.392,0.353,0.333
SEIR015_sl1000_mr0125_nv10_6,0.8,0.943,0.914,0.914,0.914,0.886,0.8,0.771,0.771,0.686,0.6
SEIR015_sl1000_mr0125_nv10_7,0.838,0.926,0.926,0.912,0.912,0.868,0.868,0.853,0.824,0.75,0.706
SEIR015_sl1000_mr0125_nv10_8,0.667,0.944,0.833,0.778,0.722,0.722,0.667,0.611,0.5,0.444,0.389
SEIR015_sl1000_mr0125_nv10_9,0.476,0.571,0.571,0.524,0.429,0.429,0.429,0.429,0.429,0.381,0.381
SEIR015_sl1000_mr025_nv10_1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_10,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.727,0.455
SEIR015_sl1000_mr025_nv10_11,0.893,0.964,0.964,0.964,0.964,0.893,0.786,0.732,0.696,0.661,0.643
SEIR015_sl1000_mr025_nv10_12,0.9,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7
SEIR015_sl1000_mr025_nv10_13,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
SEIR015_sl1000_mr025_nv10_14,0.84,0.88,0.88,0.88,0.88,0.8,0.8,0.8,0.76,0.76,0.72
SEIR015_sl1000_mr025_nv10_15,0.603,0.724,0.707,0.69,0.672,0.672,0.638,0.586,0.5,0.431,0.431
SEIR015_sl1000_mr025_nv10_16,0.929,0.929,0.929,0.929,0.929,0.929,0.857,0.857,0.857,0.714,0.714
SEIR015_sl1000_mr025_nv10_17,0.868,0.868,0.868,0.868,0.868,0.789,0.789,0.789,0.737,0.737,0.684
SEIR015_sl1000_mr025_nv10_18,0.703,0.865,0.865,0.811,0.703,0.703,0.703,0.703,0.676,0.676,0.676
SEIR015_sl1000_mr025_nv10_19,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.789,0.789,0.789
SEIR015_sl1000_mr025_nv10_2,0.786,0.875,0.857,0.857,0.839,0.839,0.768,0.714,0.679,0.625,0.607
SEIR015_sl1000_mr025_nv10_20,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.625
SEIR015_sl1000_mr025_nv10_3,0.978,1,1,1,1,0.935,0.935,0.891,0.848,0.848,0.848
SEIR015_sl1000_mr025_nv10_4,0.841,0.909,0.886,0.886,0.841,0.818,0.795,0.773,0.773,0.727,0.727
SEIR015_sl1000_mr025_nv10_5,0.875,0.875,0.875,0.875,0.854,0.812,0.812,0.771,0.771,0.729,0.729
SEIR015_sl1000_mr025_nv10_6,0.783,0.87,0.848,0.848,0.848,0.848,0.826,0.826,0.761,0.696,0.696
SEIR015_sl1000_mr025_nv10_7,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv10_8,0.95,1,1,1,1,1,1,0.95,0.8,0.8,0.75
SEIR015_sl1000_mr025_nv10_9,0.893,0.946,0.929,0.929,0.911,0.893,0.839,0.804,0.786,0.786,0.786
SEIR015_sl1000_mr025_nv20_1,0.733,0.8,0.733,0.667,0.667,0.667,0.6,0.6,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv20_10,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.556,0.556,0.444
SEIR015_sl1000_mr025_nv20_11,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.769
SEIR015_sl1000_mr025_nv20_12,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
SEIR015_sl1000_mr025_nv20_13,0.778,1,1,1,1,1,1,0.889,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv20_14,0.818,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.727,0.727
SEIR015_sl1000_mr025_nv20_15,0.833,0.917,0.917,0.917,0.875,0.833,0.75,0.75,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv20_16,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.833,0.833,0.833,0.833
SEIR015_sl1000_mr025_nv20_17,0.875,0.929,0.929,0.911,0.893,0.857,0.839,0.839,0.839,0.786,0.786
SEIR015_sl1000_mr025_nv20_18,0.769,0.795,0.718,0.718,0.718,0.718,0.718,0.692,0.692,0.692,0.692
SEIR015_sl1000_mr025_nv20_19,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545
SEIR015_sl1000_mr025_nv20_2,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
SEIR015_sl1000_mr025_nv20_20,0.632,0.737,0.737,0.684,0.684,0.632,0.632,0.526,0.526,0.526,0.526
SEIR015_sl1000_mr025_nv20_3,0.712,0.803,0.773,0.758,0.742,0.727,0.727,0.682,0.667,0.621,0.621
SEIR015_sl1000_mr025_nv20_4,0.909,0.909,0.909,0.909,0.909,0.879,0.848,0.758,0.606,0.576,0.545
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.846,0.846
SEIR015_sl1000_mr025_nv20_6,0.895,0.974,0.947,0.921,0.895,0.895,0.895,0.895,0.842,0.789,0.737
