dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,1,0.918,0.957,0.622,0.836,0.713
SEIR015_sl1000_mr0125_nv10_10,1,0.474,0.643,0.652,0.789,0.714
SEIR015_sl1000_mr0125_nv10_11,1,0.538,0.7,0.5,0.769,0.606
SEIR015_sl1000_mr0125_nv10_12,1,0.643,0.783,0.5,0.643,0.563
SEIR015_sl1000_mr0125_nv10_13,0.979,0.94,0.959,0.746,0.94,0.832
SEIR015_sl1000_mr0125_nv10_14,1,0.654,0.791,0.738,0.923,0.821
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.537,0.644,0.586
SEIR015_sl1000_mr0125_nv10_16,0.861,0.492,0.626,0.718,0.889,0.794
SEIR015_sl1000_mr0125_nv10_17,1,0.462,0.632,0.758,0.962,0.847
SEIR015_sl1000_mr0125_nv10_18,1,0.5,0.667,0.643,0.9,0.75
SEIR015_sl1000_mr0125_nv10_19,1,0.548,0.708,0.594,0.613,0.603
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.706,0.75,0.727
SEIR015_sl1000_mr0125_nv10_20,0.958,0.561,0.708,0.72,0.878,0.791
SEIR015_sl1000_mr0125_nv10_3,1,0.667,0.8,0.643,1,0.783
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.667,0.8,0.727
SEIR015_sl1000_mr0125_nv10_5,0.938,0.882,0.909,0.446,0.49,0.467
SEIR015_sl1000_mr0125_nv10_6,1,0.6,0.75,0.69,0.829,0.753
SEIR015_sl1000_mr0125_nv10_7,0.979,0.676,0.8,0.732,0.882,0.8
SEIR015_sl1000_mr0125_nv10_8,1,0.667,0.8,0.6,1,0.75
SEIR015_sl1000_mr0125_nv10_9,0.75,0.429,0.545,0.636,0.333,0.437
SEIR015_sl1000_mr025_nv10_1,1,0.6,0.75,0.833,1,0.909
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.588,0.909,0.714
SEIR015_sl1000_mr025_nv10_11,0.977,0.75,0.848,0.653,0.875,0.748
SEIR015_sl1000_mr025_nv10_12,1,0.2,0.333,0.857,0.6,0.706
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,0.2,0.2,0.2
SEIR015_sl1000_mr025_nv10_14,0.842,0.64,0.727,0.6,0.84,0.7
SEIR015_sl1000_mr025_nv10_15,1,0.5,0.667,0.554,0.534,0.544
SEIR015_sl1000_mr025_nv10_16,1,0.571,0.727,0.778,1,0.875
SEIR015_sl1000_mr025_nv10_17,0.9,0.711,0.794,0.689,0.816,0.747
SEIR015_sl1000_mr025_nv10_18,1,0.595,0.746,0.674,0.784,0.725
SEIR015_sl1000_mr025_nv10_19,1,0.737,0.848,0.586,0.895,0.708
SEIR015_sl1000_mr025_nv10_2,0.976,0.732,0.837,0.566,0.768,0.652
SEIR015_sl1000_mr025_nv10_20,1,0.375,0.545,0.778,0.875,0.824
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,0.746,0.957,0.838
SEIR015_sl1000_mr025_nv10_4,0.972,0.795,0.875,0.667,0.909,0.769
SEIR015_sl1000_mr025_nv10_5,0.923,0.75,0.828,0.741,0.896,0.811
SEIR015_sl1000_mr025_nv10_6,0.93,0.87,0.899,0.721,0.957,0.822
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.727,0.889,0.8
SEIR015_sl1000_mr025_nv10_8,1,0.7,0.824,0.727,0.8,0.762
SEIR015_sl1000_mr025_nv10_9,1,0.875,0.933,0.726,0.946,0.822
SEIR015_sl1000_mr025_nv20_1,1,0.6,0.75,0.667,0.933,0.778
SEIR015_sl1000_mr025_nv20_10,1,0.333,0.5,0.636,0.778,0.7
SEIR015_sl1000_mr025_nv20_11,1,0.692,0.818,0.75,0.923,0.828
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.542,0.65,0.591
SEIR015_sl1000_mr025_nv20_13,1,0.222,0.364,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.952,0.909,0.93,0.636,0.955,0.764
SEIR015_sl1000_mr025_nv20_15,1,0.375,0.545,0.621,0.75,0.679
SEIR015_sl1000_mr025_nv20_16,0.929,0.867,0.897,0.711,0.9,0.794
SEIR015_sl1000_mr025_nv20_17,0.978,0.804,0.882,0.697,0.946,0.803
SEIR015_sl1000_mr025_nv20_18,0.955,0.538,0.689,0.675,0.692,0.684
SEIR015_sl1000_mr025_nv20_19,0.667,0.182,0.286,0.444,0.727,0.552
SEIR015_sl1000_mr025_nv20_2,1,0.64,0.78,0.767,0.92,0.836
SEIR015_sl1000_mr025_nv20_20,0.846,0.579,0.688,0.56,0.737,0.636
SEIR015_sl1000_mr025_nv20_3,1,0.667,0.8,0.794,0.758,0.775
SEIR015_sl1000_mr025_nv20_4,1,0.758,0.862,0.628,0.818,0.711
SEIR015_sl1000_mr025_nv20_5,0.972,0.897,0.933,0.661,0.949,0.779
SEIR015_sl1000_mr025_nv20_6,0.889,0.421,0.571,0.756,0.895,0.819
SEIR015_sl1000_mr025_nv20_7,0.935,0.806,0.866,0.791,0.944,0.861
SEIR015_sl1000_mr025_nv20_8,0.958,0.687,0.8,0.831,0.731,0.778
SEIR015_sl1000_mr025_nv20_9,0.812,0.722,0.765,0.464,0.722,0.565
SEIR015_sl1000_mr025_nv5_1,1,0.357,0.526,0.5,0.643,0.563
SEIR015_sl1000_mr025_nv5_10,1,0.333,0.5,0.697,0.639,0.667
SEIR015_sl1000_mr025_nv5_11,0.971,0.723,0.829,0.618,0.723,0.667
SEIR015_sl1000_mr025_nv5_12,0.778,0.636,0.7,0.333,0.364,0.348
SEIR015_sl1000_mr025_nv5_13,1,0.677,0.808,0.667,0.839,0.743
SEIR015_sl1000_mr025_nv5_14,1,0.467,0.636,0.65,0.867,0.743
SEIR015_sl1000_mr025_nv5_15,0.913,0.646,0.757,0.649,0.738,0.691
SEIR015_sl1000_mr025_nv5_16,1,0.846,0.917,0.571,0.769,0.656
SEIR015_sl1000_mr025_nv5_17,0.968,0.732,0.833,0.672,0.951,0.788
SEIR015_sl1000_mr025_nv5_18,0.897,0.636,0.745,0.655,0.655,0.655
SEIR015_sl1000_mr025_nv5_19,1,0.182,0.308,0.667,0.545,0.6
SEIR015_sl1000_mr025_nv5_2,1,0.444,0.615,0.636,0.778,0.7
SEIR015_sl1000_mr025_nv5_20,1,0.61,0.758,0.593,0.78,0.674
