host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2
111,1000_to_1099,1049.5,10,10,1,1,0.1981324,0.1981324,0.27016,0.4650369999999999,0.2528853333333333,0.2528853333333333,0.1981324,0.1981324,0.27016,0.4650369999999999,0.2528853333333333,0.2528853333333333,1,0
136,1000_to_1099,1049.5,10,10,1,2,0.6000628,0.6000628,0.588394,1.3011080000000002,0.6711303555555556,0.6711303555555556,0.6000628,0.6000628,0.588394,1.3011080000000002,0.6711303555555556,0.6711303555555556,1,0
174,1000_to_1099,1049.5,10,10,1,1,0.1283443,0.1283443,0.181128,0.253742,0.09679713333333334,0.09679713333333334,0.1283443,0.1283443,0.181128,0.253742,0.09679713333333334,0.09679713333333334,1,0
177,1000_to_1099,1049.5,10,10,1,1,0.7311845,0.7311845,0.821301,1.37356,0.7041171333333333,0.7041171333333333,0.7311845,0.7311845,0.821301,1.37356,0.7041171333333333,0.7041171333333333,1,0
186,1000_to_1099,1049.5,10,10,2,6,1.2813402,1.1146878571428573,0.762829,2.7869020000000004,1.9691473333333334,1.5597680952380952,1.2813402,1.1146878571428573,0.762829,2.7869020000000004,1.9691473333333334,1.5597680952380952,0.7,0.3
187,1000_to_1099,1049.5,10,10,1,1,0.5577337,0.5577337,0.5270940000000001,1.102348,0.7445981111111112,0.7445981111111112,0.5577337,0.5577337,0.5270940000000001,1.102348,0.7445981111111112,0.7445981111111112,1,0
195,1000_to_1099,1049.5,10,10,1,1,0.07486479999999998,0.07486479999999998,0.153885,0.23604599999999998,0.11885635555555554,0.11885635555555554,0.07486479999999998,0.07486479999999998,0.153885,0.23604599999999998,0.11885635555555554,0.11885635555555554,1,0
229,1000_to_1099,1049.5,10,10,1,6,0.0660122,0.0660122,0.035434,0.122115,0.08311848888888888,0.08311848888888888,0.0660122,0.0660122,0.035434,0.122115,0.08311848888888888,0.08311848888888888,1,0
310,1000_to_1099,1049.5,10,10,1,1,0.300115,0.300115,0.30577,0.663,0.4301579111111111,0.4301579111111111,0.300115,0.300115,0.30577,0.663,0.4301579111111111,0.4301579111111111,1,0
330,1000_to_1099,1049.5,10,10,1,1,0.4523254,0.4523254,0.539887,1.0139690000000001,0.718318,0.718318,0.4523254,0.4523254,0.539887,1.0139690000000001,0.718318,0.718318,1,0
