dataset,50,60,70,80,90,100
SEIR015_sl1000_mr0125_nv10_1,0.712,0.644,0.521,0.438,0.397,0.397
SEIR015_sl1000_mr0125_nv10_10,0.684,0.684,0.684,0.579,0.526,0.526
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.538,0.385,0.385,0.385
SEIR015_sl1000_mr0125_nv10_12,0.714,0.643,0.286,0.286,0.286,0.286
SEIR015_sl1000_mr0125_nv10_13,0.8,0.76,0.74,0.56,0.56,0.56
SEIR015_sl1000_mr0125_nv10_14,0.846,0.846,0.731,0.615,0.577,0.558
SEIR015_sl1000_mr0125_nv10_15,0.556,0.533,0.356,0.267,0.267,0.267
SEIR015_sl1000_mr0125_nv10_16,0.81,0.778,0.698,0.651,0.651,0.651
SEIR015_sl1000_mr0125_nv10_17,0.731,0.731,0.692,0.577,0.577,0.577
SEIR015_sl1000_mr0125_nv10_18,0.7,0.7,0.5,0.5,0.5,0.5
SEIR015_sl1000_mr0125_nv10_19,0.516,0.516,0.516,0.484,0.484,0.484
SEIR015_sl1000_mr0125_nv10_2,0.625,0.625,0.625,0.562,0.562,0.562
SEIR015_sl1000_mr0125_nv10_20,0.878,0.854,0.659,0.634,0.585,0.585
SEIR015_sl1000_mr0125_nv10_3,0.778,0.778,0.556,0.556,0.556,0.556
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.7,0.6,0.6,0.6
SEIR015_sl1000_mr0125_nv10_5,0.333,0.314,0.294,0.255,0.216,0.216
SEIR015_sl1000_mr0125_nv10_6,0.6,0.6,0.514,0.457,0.371,0.371
SEIR015_sl1000_mr0125_nv10_7,0.735,0.706,0.559,0.471,0.456,0.456
SEIR015_sl1000_mr0125_nv10_8,0.667,0.556,0.389,0.333,0.278,0.278
SEIR015_sl1000_mr0125_nv10_9,0.333,0.333,0.238,0.238,0.238,0.238
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_10,0.364,0.364,0.364,0.273,0.273,0.273
SEIR015_sl1000_mr025_nv10_11,0.75,0.679,0.571,0.429,0.429,0.429
SEIR015_sl1000_mr025_nv10_12,0.9,0.8,0.7,0.5,0.5,0.5
SEIR015_sl1000_mr025_nv10_13,0.4,0.4,0.3,0.2,0.2,0.2
SEIR015_sl1000_mr025_nv10_14,0.76,0.72,0.6,0.44,0.4,0.4
SEIR015_sl1000_mr025_nv10_15,0.448,0.414,0.328,0.293,0.293,0.293
SEIR015_sl1000_mr025_nv10_16,0.786,0.714,0.643,0.571,0.571,0.571
SEIR015_sl1000_mr025_nv10_17,0.684,0.684,0.605,0.421,0.395,0.395
SEIR015_sl1000_mr025_nv10_18,0.703,0.649,0.568,0.459,0.459,0.459
SEIR015_sl1000_mr025_nv10_19,0.789,0.789,0.632,0.474,0.474,0.474
SEIR015_sl1000_mr025_nv10_2,0.625,0.607,0.446,0.375,0.357,0.357
SEIR015_sl1000_mr025_nv10_20,0.625,0.5,0.5,0.5,0.5,0.5
SEIR015_sl1000_mr025_nv10_3,0.913,0.87,0.783,0.652,0.63,0.609
SEIR015_sl1000_mr025_nv10_4,0.773,0.727,0.591,0.455,0.432,0.432
SEIR015_sl1000_mr025_nv10_5,0.792,0.771,0.646,0.542,0.5,0.479
SEIR015_sl1000_mr025_nv10_6,0.783,0.739,0.609,0.5,0.5,0.5
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.778,0.667,0.667,0.667
SEIR015_sl1000_mr025_nv10_8,0.8,0.75,0.7,0.65,0.65,0.65
SEIR015_sl1000_mr025_nv10_9,0.875,0.839,0.643,0.554,0.536,0.536
SEIR015_sl1000_mr025_nv20_1,0.667,0.533,0.467,0.333,0.333,0.333
SEIR015_sl1000_mr025_nv20_10,0.778,0.667,0.333,0.333,0.333,0.333
SEIR015_sl1000_mr025_nv20_11,0.769,0.769,0.692,0.615,0.615,0.615
SEIR015_sl1000_mr025_nv20_12,0.65,0.6,0.6,0.55,0.55,0.55
SEIR015_sl1000_mr025_nv20_13,0.889,0.889,0.889,0.889,0.778,0.778
SEIR015_sl1000_mr025_nv20_14,0.727,0.727,0.545,0.455,0.364,0.364
SEIR015_sl1000_mr025_nv20_15,0.75,0.75,0.667,0.542,0.542,0.542
SEIR015_sl1000_mr025_nv20_16,0.833,0.8,0.733,0.7,0.667,0.667
SEIR015_sl1000_mr025_nv20_17,0.821,0.75,0.625,0.482,0.482,0.482
SEIR015_sl1000_mr025_nv20_18,0.718,0.692,0.564,0.513,0.513,0.513
SEIR015_sl1000_mr025_nv20_19,0.545,0.455,0.455,0.273,0.273,0.273
SEIR015_sl1000_mr025_nv20_2,0.88,0.88,0.72,0.64,0.64,0.64
SEIR015_sl1000_mr025_nv20_20,0.526,0.526,0.526,0.474,0.474,0.474
SEIR015_sl1000_mr025_nv20_3,0.667,0.652,0.606,0.576,0.545,0.545
SEIR015_sl1000_mr025_nv20_4,0.606,0.576,0.576,0.424,0.424,0.424
SEIR015_sl1000_mr025_nv20_5,0.846,0.821,0.59,0.513,0.487,0.487
SEIR015_sl1000_mr025_nv20_6,0.842,0.763,0.684,0.579,0.553,0.553
SEIR015_sl1000_mr025_nv20_7,0.861,0.861,0.833,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv20_8,0.687,0.687,0.642,0.582,0.582,0.582
SEIR015_sl1000_mr025_nv20_9,0.556,0.556,0.444,0.333,0.333,0.333
SEIR015_sl1000_mr025_nv5_1,0.643,0.571,0.143,0.071,0.071,0.071
SEIR015_sl1000_mr025_nv5_10,0.583,0.556,0.444,0.389,0.389,0.389
SEIR015_sl1000_mr025_nv5_11,0.596,0.574,0.404,0.298,0.298,0.298
SEIR015_sl1000_mr025_nv5_12,0.364,0.273,0.273,0.273,0.182,0.182
SEIR015_sl1000_mr025_nv5_13,0.71,0.645,0.548,0.355,0.355,0.355
SEIR015_sl1000_mr025_nv5_14,0.6,0.6,0.6,0.533,0.533,0.533
SEIR015_sl1000_mr025_nv5_15,0.677,0.646,0.415,0.369,0.354,0.323
SEIR015_sl1000_mr025_nv5_16,0.731,0.731,0.538,0.423,0.423,0.423
SEIR015_sl1000_mr025_nv5_17,0.805,0.756,0.61,0.415,0.39,0.39
SEIR015_sl1000_mr025_nv5_18,0.582,0.564,0.473,0.418,0.4,0.4
SEIR015_sl1000_mr025_nv5_19,0.455,0.455,0.455,0.455,0.455,0.455
SEIR015_sl1000_mr025_nv5_2,0.667,0.667,0.556,0.444,0.444,0.444
SEIR015_sl1000_mr025_nv5_20,0.537,0.488,0.366,0.293,0.244,0.244
SEIR015_sl1000_mr025_nv5_3,0.519,0.519,0.444,0.333,0.333,0.333
SEIR015_sl1000_mr025_nv5_4,0.68,0.64,0.5,0.34,0.32,0.32
