dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr025_nv5_18,0.884,0.691,0.776,0.806,0.455,0.581
SEIR015_sl1000_mr025_nv5_19,1.0,0.182,0.308,1.0,0.364,0.533
SEIR015_sl1000_mr025_nv5_2,1.0,0.444,0.615,1.0,0.222,0.364
SEIR015_sl1000_mr025_nv5_20,1.0,0.659,0.794,1.0,0.341,0.509
SEIR015_sl1000_mr025_nv5_3,0.857,0.444,0.585,1.0,0.333,0.5
SEIR015_sl1000_mr025_nv5_4,0.944,0.68,0.791,0.85,0.34,0.486
SEIR015_sl1000_mr025_nv5_5,0.5,0.286,0.364,0.8,0.19,0.308
SEIR015_sl1000_mr025_nv5_6,0.926,0.403,0.562,0.722,0.21,0.325
SEIR015_sl1000_mr025_nv5_7,0.875,0.808,0.84,0.875,0.269,0.412
SEIR015_sl1000_mr025_nv5_8,1.0,0.696,0.821,1.0,0.348,0.516
SEIR015_sl1000_mr025_nv5_9,1.0,0.4,0.571,0.812,0.325,0.464
SEIR015_sl1000_mr05_nv10_1,0.917,0.647,0.759,0.714,0.294,0.417
SEIR015_sl1000_mr05_nv10_10,1.0,0.556,0.714,0.857,0.667,0.75
SEIR015_sl1000_mr05_nv10_11,0.667,0.25,0.364,0.4,0.25,0.308
SEIR015_sl1000_mr05_nv10_12,1.0,0.125,0.222,0.75,0.375,0.5
SEIR015_sl1000_mr05_nv10_13,1.0,0.836,0.911,1.0,0.738,0.849
SEIR015_sl1000_mr05_nv10_14,0.973,0.783,0.867,0.941,0.348,0.508
SEIR015_sl1000_mr05_nv10_15,1.0,0.545,0.706,1.0,0.182,0.308
SEIR015_sl1000_mr05_nv10_16,0.903,0.683,0.778,1.0,0.659,0.794
SEIR015_sl1000_mr05_nv10_17,0.95,0.551,0.697,0.927,0.551,0.691
SEIR015_sl1000_mr05_nv10_18,0.96,0.585,0.727,0.88,0.537,0.667
