host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
130,202,complex,1,10,1/10,10
130,202,trans,9,10,9/10,10
130,209,trans,6,10,6/10,6
130,249,none,7,10,7/10,7
130,427,none,1,10,1/10,10
130,427,trans,9,10,9/10,10
150,22,none,5,10,5/10,8
150,22,trans,3,10,3/10,8
150,249,trans,3,10,3/10,10
150,30,trans,10,10,10/10,10
150,466,none,5,10,5/10,9
150,466,trans,4,10,4/10,9
202,209,none,6,10,6/10,10
202,209,trans,4,10,4/10,10
202,24,trans,10,10,10/10,10
202,73,none,4,10,4/10,8
202,73,trans,4,10,4/10,8
202,817,none,4,10,4/10,8
202,817,trans,4,10,4/10,8
209,73,none,8,10,8/10,10
209,73,trans,2,10,2/10,10
209,817,none,8,10,8/10,10
209,817,trans,2,10,2/10,10
22,466,none,7,10,7/10,10
22,466,trans,1,10,1/10,10
249,150,trans,7,10,7/10,10
466,22,trans,2,10,2/10,10
73,817,none,8,10,8/10,8
